battery,cycle_index,type,ambient_temperature,time,sense_current_mean,battery_current_mean,current_ratio_mean,battery_impedance_mean,Re,Rct
B0005,40,impedance,24,[2008.       4.      18.      20.      55.      29.859],816.4267024624833,323.1039834618639,2.5672845748527484,0.2089502079760751,0.0446687003661609,0.0694562730453699
B0005,42,impedance,24,[2008.       4.      18.      22.      39.      16.312],815.0319260564542,323.62563296584096,2.577993338104437,0.2147716181768545,0.0466870016248693,0.0762747409853058
B0005,44,impedance,24,[2.0080e+03 4.0000e+00 1.9000e+01 2.0000e+00 1.4000e+01 2.7015e+01],815.7607203654292,323.7401647247099,2.563344240889593,0.2087162071516686,0.044843430573346,0.0679720560130687
B0005,46,impedance,24,[2008.       4.      19.       3.      57.      24.187],814.6736806203832,324.4263457076668,2.5666109097649072,0.2129473531393761,0.0461946895509937,0.0745338891843796
B0005,48,impedance,24,[2008.       4.      19.       7.      32.      33.656],816.2461883667588,323.0674710450523,2.5690406786621485,0.2092581728649849,0.04510114851143,0.0685283289600032
B0005,50,impedance,24,[2008.       4.      19.       9.      15.      10.453],813.8002245891472,325.4500530814132,2.5583535487906635,0.2125279892780493,0.0459907447307683,0.0734266410877331
B0005,52,impedance,24,[2.008e+03 4.000e+00 1.900e+01 1.200e+01 4.700e+01 4.210e-01],816.2106388510329,323.21785861804847,2.5721523467186267,0.2096433565356756,0.0441720755771717,0.0680444951699617
B0005,54,impedance,24,[2008.       4.      19.      14.      28.      58.984],814.4735219004697,324.67605210529206,2.5660148334284205,0.2132998694791866,0.0452171085992494,0.0746477840841336
B0005,56,impedance,24,[2008.       4.      19.      18.      12.      47.531],816.2051351626425,323.6141530549878,2.568100877295447,0.2092859034459832,0.0437866281960759,0.0684502122707276
B0005,58,impedance,24,[2008.       4.      19.      19.      55.       5.296],814.0944469300438,325.3383029492804,2.5617997429128456,0.2127910864720774,0.0449099454136579,0.0739568760325419
B0005,60,impedance,24,[2008.       4.      19.      23.      27.      13.343],816.2964766702971,323.0223718739734,2.5727601658868755,0.2097048351944546,0.0446393219887852,0.0683410113732366
B0005,62,impedance,24,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 8.0000e+00 1.1406e+01],814.3610070435101,324.74823476745433,2.564998307514798,0.213144763813216,0.0471704408693174,0.072081121644792
B0005,64,impedance,24,[2008.       4.      20.       4.      39.      59.296],816.4055434636157,323.69922891239395,2.5638109065145387,0.2087768852933477,0.0435587857754753,0.0686823765587221
B0005,66,impedance,24,[2008.       4.      20.       6.      20.      57.125],813.5343382462119,325.804179635289,2.5549128777347034,0.2119514965869997,0.0464896970863564,0.0710290933933924
B0005,68,impedance,24,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+01 1.0000e+00 4.6156e+01],816.3768498754638,323.27989966228057,2.567211260912753,0.2091168961499828,0.0452654781826178,0.0681437253042456
B0005,70,impedance,24,[2008.       4.      20.      11.      42.      26.062],814.1873813652063,325.00273238116165,2.56421503142572,0.2128180786701313,0.0463622366817154,0.0719302986054303
B0005,72,impedance,24,[2008.      4.     20.     15.     22.     22.64],816.0602136712378,323.74642291390654,2.5618533569325352,0.2086334585919751,0.0444837157774346,0.0678255571971684
B0005,74,impedance,24,[2.008e+03 4.000e+00 2.000e+01 1.700e+01 3.000e+00 1.140e+00],814.0559567557078,325.3006589654104,2.560354852952912,0.2125483427978235,0.0448279130020564,0.072888269527583
B0005,76,impedance,24,[2008.       4.      20.      20.      35.      56.187],816.0645446470699,323.50378066322514,2.5655690833558134,0.2091233281246893,0.0444141648591004,0.0688580524121343
B0005,78,impedance,24,[2008.       4.      20.      22.      16.      35.078],813.1977076998731,326.0188230535403,2.55456949713139,0.2121871066588963,0.0446645067989457,0.0727868237536811
B0005,80,impedance,24,[2.0080e+03 4.0000e+00 2.1000e+01 2.0000e+00 0.0000e+00 1.9968e+01],816.0180115342195,323.4884656686245,2.5696585948066955,0.2094623538790992,0.0445354459002964,0.0677943469911627
B0005,82,impedance,24,[2008.       4.      21.       3.      26.      58.453],812.7456511788722,326.4404326008007,2.5501705536495773,0.2112146235161216,0.045021352455558,0.0694040818553967
B0005,86,impedance,24,[2008.       4.      22.      16.      33.       3.953],834.3467671339095,329.7605427096183,2.6088422157497924,0.204169244712495,0.0461064656426378,0.0704108330775636
B0005,88,impedance,24,[2008.       4.      22.      19.      54.      32.265],835.8887526465611,328.2512221429307,2.6221935585697858,0.2060717005639,0.0464625160005063,0.0699377430233672
B0005,90,impedance,24,[2008.       4.      22.      21.      24.      34.484],834.2855150530755,329.8020143497161,2.6077587955251857,0.2040874124417423,0.0476673249976311,0.0687014202685642
B0005,92,impedance,24,[2008.       4.      23.       0.      46.      24.921],835.9033654230419,328.081409713076,2.6220390123197603,0.2060690607295631,0.0477238545111998,0.0695041754421432
B0005,94,impedance,24,[2.008e+03 4.000e+00 2.300e+01 2.000e+00 1.600e+01 8.578e+00],834.2148141541592,329.935514342777,2.6038960934977515,0.2037795951299453,0.0478676951872586,0.0678285150105384
B0005,96,impedance,24,[2008.      4.     23.      5.     46.     32.89],835.690480880449,328.10890304564697,2.6226335608297795,0.2061177208205368,0.0469402296332379,0.069661211991841
B0005,98,impedance,24,[2008.       4.      23.       7.      16.       7.671],834.0595408643582,330.26931450496863,2.600334399106125,0.203384531080859,0.0456134190837229,0.0690386303340568
B0005,100,impedance,24,[2008.       4.      23.      10.      36.      13.156],837.0367820064852,327.06239852935647,2.6340292553347675,0.2075354715442657,0.0470279824320801,0.0711294674960708
B0005,102,impedance,24,[2008.       4.      23.      12.       5.      30.437],834.6662312921793,329.2653727664951,2.6132401106462737,0.2048275551177437,0.0467288723388305,0.0697112997292194
B0005,104,impedance,24,[2008.       4.      23.      15.      34.      37.843],837.2074435995327,326.57125558295434,2.6396246570271606,0.2081124596181813,0.0477553802626716,0.0716707961231252
B0005,106,impedance,24,[2008.       4.      23.      17.       3.      55.484],834.5727336797744,329.48423702974543,2.611752803658011,0.2045607718256385,0.046916225196282,0.0691334355475146
B0005,108,impedance,24,[2008.      4.     23.     20.     31.     10.75],836.3738531047999,327.7284294737983,2.6254641167583936,0.2064938918732452,0.0470229394468384,0.0697669618355563
B0005,110,impedance,24,[2008.       4.      23.      22.       0.      19.218],834.2083630473444,329.79991862373186,2.609504988630543,0.2042298584635636,0.046604793185003,0.068522152288229
B0005,112,impedance,24,[2.0080e+03 4.0000e+00 2.4000e+01 1.0000e+00 1.9000e+01 4.6171e+01],836.9902317215368,327.4210166381997,2.6334596483175075,0.2072948284918152,0.046245370477528,0.0719248993978976
